construct,variable,statement
Perceived Usefulness,PU1,The use of Wikipedia makes it easier for students to develop new skills
Perceived Usefulness,PU2,The use of Wikipedia improves students' learning
Perceived Usefulness,PU3,Wikipedia is useful for teaching
Perceived Ease of Use,PEU1,Wikipedia is user-friendly
Perceived Ease of Use,PEU2,It is easy to find in Wikipedia the information you seek
Perceived Ease of Use,PEU3,It is easy to add or edit information in Wikipedia
Perceived Enjoyment,ENJ1,The use of Wikipedia stimulates curiosity
Perceived Enjoyment,ENJ2,The use of Wikipedia is entertaining
Quality,QU1,Articles in Wikipedia are reliable
Quality,QU2,Articles in Wikipedia are updated
Quality,QU3,Articles in Wikipedia are comprehensive
Quality,QU4,"In my area of expertise, Wikipedia has a lower quality than other educational resources"
Quality,QU5,I trust in the editing system of Wikipedia
Visibility,VIS1,Wikipedia improves visibility of students' work
Visibility,VIS2,It is easy to have a record of the contributions made in Wikipedia
Visibility,VIS3,I cite Wikipedia in my academic papers
Social Image,IM1,The use of Wikipedia is well considered among colleagues
Social Image,IM2,"In academia, sharing open educational resources is appreciated"
Social Image,IM3,My colleagues use Wikipedia
Sharing attitude,SA1,It is important to share academic content in open platforms
Sharing attitude,SA2,It is important to publish research results in other media than academic journals or books
Sharing attitude,SA3,It is important that students become familiar with online collaborative environments
Use behaviour,USE1,I use Wikipedia to develop my teaching materials
Use behaviour,USE2,I use Wikipedia as a platform to develop educational activities with students
Use behaviour,USE3,I recommend my students to use Wikipedia
Use behaviour,USE4,I recommend my colleagues to use Wikipedia
Use behaviour,USE5,I agree my students use Wikipedia in my courses
Profile 2.0,PF1,I contribute to blogs
Profile 2.0,PF2,I actively participate in social networks
Profile 2.0,PF3,I publish academic content in open platforms
Job relevance,JR1,My university promotes the use of open collaborative environments in the Internet
Job relevance,JR2,My university considers the use of open collaborative environments in the Internet as a teaching merit
Behavioral intention,BI1,In the future I will recommend the use of Wikipedia to my colleagues and students
Behavioral intention,BI2,In the future I will use Wikipedia in my teaching activity
Incentives,INC1,"To design educational activities using Wikipedia, it would be helpful: a best practices guide"
Incentives,INC2,"To design educational activities using Wikipedia, it would be helpful: getting instruction from a colleague"
Incentives,INC3,"To design educational activities using Wikipedia, it would be helpful: getting specific training"
Incentives,INC4,"To design educational activities using Wikipedia, it would be helpfull: greater institutional recognition"
Experience,EXP1,I consult Wikipedia for issues related to my field of expertise
Experience,EXP2,I consult Wikipedia for other academic related issues
Experience,EXP3,I consult Wikipedia for personal issues
Experience,EXP4,"I contribute to Wikipedia (editions, revisions, articles improvement...)"
Experience,EXP5,I use wikis to work with my students
Demographic,AGE,Age of Professor
Demographic,GENDER,Male or Female
Demographic,DOMAIN,"Area of Expertise: Arts & Humanities; Sciences; Health Sciences; Engineering & Architecture; Law & Politics; Social Sciences"
Demographic,PHD,Has PhD or Not
Demographic,YEARSEXP,Years of university teaching experience
Demographic,UNIVERSITY,"Universitat Oberta de Catalunya (UOC) or Universitat Pompeu Fabra (UPF)."
Demographic,UOC_POSITION,"Professor; Associate; Assistant; Lecturer; Instructor; Adjunct"
Demographic,OTHER,"For part time members, states if main job in another university"
Demographic,OTHER_POSITION,"People who work as part time in another university and UPF members"
Demographic,USERWIKI,"Whether a registered Wikipedia user or not"